recipe_id;raw_ingredient_id;amount;unit_id
1;1;4;10
1;2;1;9
1;3;1;9
1;5;10;1
2;1;2;10
2;2;1;9
2;3;1;9
2;5;10;1
3;10;80;1
3;13;250;4
3;22;1;8
3;98;1;7
3;132;1;10
4;1;2;10
4;2;1;9
4;5;30;1
4;13;300;4
4;32;250;1
4;42;20;1
5;5;20;1
5;78;1;10
5;113;1;7
5;224;4;13
5;291;100;1
5;313;4;13
6;1;4;10
6;2;1;9
6;3;1;9
6;6;1;8
6;60;1;14
6;78;1;10
6;84;1;10
7;1;1;10
7;2;1;9
7;3;1;9
7;123;1;8
7;313;2;13
7;315;1;10
8;10;40;1
8;22;1;8
8;132;1;10
8;153;20;1
8;183;200;1
9;1;1;10
9;2;1;9
9;5;50;1
9;13;200;4
9;32;300;1
9;42;50;1
9;50;20;1
9;316;5;1
10;2;1;9
10;5;200;1
10;13;150;4
10;32;300;1
10;42;30;1
10;316;7;1
11;2;1;9
11;3;1;9
11;8;2;8
11;59;1;15
11;123;1;8
11;201;300;1
11;297;40;1
11;313;2;13
11;318;200;1
12;2;1;9
12;8;2;8
12;78;2;10
12;113;1;7
12;305;150;1
12;314;1;10
13;2;1;9
13;8;2;8
13;59;2;15
13;78;3;10
13;114;1;8
13;313;4;13
14;78;2;10
14;224;150;1
14;291;200;1
14;313;4;13
14;314;1;10
15;1;4;10
15;2;1;9
15;3;1;9
15;5;20;1
15;64;1;8
15;313;4;13
16;292;150;1
16;293;150;1
16;295;150;1
16;296;150;1
16;297;50;1
17;5;20;1
17;313;4;13
17;314;1;10
17;322;150;1
18;2;1;9
18;8;2;8
18;78;3;10
18;114;1;8
18;300;250;1
19;1;6;10
19;2;1;9
19;3;1;9
19;5;20;1
19;111;1;7
20;3;1;9
20;64;1;8
20;224;8;13
20;310;200;1
21;2;1;7
21;60;2;14
21;65;400;1
21;81;2;8
21;84;2;10
21;93;2;7
21;95;1;7
21;211;500;1
22;2;1;8
22;3;1;7
22;59;2;15
22;60;1;14
22;69;2;10
22;70;1;10
22;71;1;10
22;211;600;1
23;2;1;7
23;8;1;8
23;42;20;1
23;60;1;14
23;82;800;1
23;114;1;7
24;2;1;7
24;60;1;14
24;69;2;10
24;71;1;10
24;120;1;8
24;312;500;1
25;2;1;7
25;3;1;7
25;5;20;1
25;59;2;15
25;180;200;4
25;312;400;1
26;2;1;7
26;6;1;8
26;59;2;15
26;60;1;14
26;93;2;7
26;282;300;1
27;2;1;7
27;3;1;7
27;59;2;15
27;60;1;14
27;118;2;10
27;277;300;1
28;2;1;8
28;60;3;14
28;78;2;10
28;84;2;10
28;93;3;8
28;233;800;1
29;2;1;7
29;3;1;7
29;5;20;1
29;13;400;4
29;59;2;15
29;312;300;1
30;42;50;1
30;98;1;7
30;100;3;10
30;123;1;8
30;129;4;10
30;317;1000;4
31;2;1;7
31;6;1;8
31;60;1;14
31;65;800;1
31;93;2;7
31;219;200;1
32;1;2;10
32;2;1;7
32;3;1;7
32;6;2;8
32;32;100;1
32;65;600;1
32;206;600;1
32;319;150;1
33;2;1;8
33;6;1;8
33;59;3;15
33;60;2;14
33;93;2;8
33;95;1;7
33;211;800;1
34;8;1;8
34;59;2;15
34;60;1;14
34;82;600;1
34;113;1;7
34;217;500;1
34;262;400;1
34;297;40;1
35;2;1;7
35;3;1;7
35;6;1;8
35;60;1;14
35;93;2;7
35;182;200;1
35;199;800;1
36;8;1;8
36;59;2;15
36;60;1;14
36;82;600;1
36;217;400;1
36;268;300;1
36;297;50;1
36;300;200;1
37;2;1;7
37;59;2;15
37;60;1;14
37;93;2;7
37;182;200;1
37;216;500;1
37;251;150;1
37;311;800;1
38;1;4;10
38;2;1;7
38;3;1;7
38;60;1;14
38;65;800;1
38;182;300;1
38;219;200;1
39;2;1;7
39;3;1;7
39;8;1;8
39;59;2;15
39;123;1;8
39;201;600;1
40;1;2;10
40;2;1;7
40;3;1;7
40;6;2;8
40;32;100;1
40;291;400;1
41;1;2;10
41;2;1;9
41;5;30;1
41;13;300;4
41;32;250;1
41;42;20;1
42;1;4;10
42;13;300;4
42;32;60;1
42;42;80;1
42;48;1;7
42;50;20;1
42;153;50;1
43;1;3;10
43;42;80;1
43;50;20;1
43;304;500;1
43;321;200;4
44;1;1;10
44;2;1;9
44;5;150;1
44;32;300;1
44;42;120;1
44;98;2;7
44;129;4;10
45;1;3;10
45;2;1;9
45;5;150;1
45;32;80;1
45;42;200;1
45;50;30;1
45;53;200;1
46;1;3;10
46;5;80;1
46;32;30;1
46;42;150;1
46;182;200;1
46;310;600;1
47;1;4;10
47;32;120;1
47;42;120;1
47;48;1;7
47;170;150;1
48;1;2;10
48;5;80;1
48;13;200;4
48;32;250;1
48;42;120;1
48;320;10;1
49;1;2;10
49;5;30;1
49;13;600;4
49;42;80;1
49;48;1;7
49;251;150;1
50;1;2;10
50;2;1;9
50;5;80;1
50;13;250;4
50;32;400;1
50;42;80;1
50;153;150;1
50;316;7;1
