category;name;description;picture;price;stock
Bogyós;Málna4;Kézzel termelt egészség;https://hur.webmania.cc/img/malna.jpg;3800;500
Bogyós;Áfonya;Az erdő kincse az otthonodba;https://hur.webmania.cc/img/afonya.jpg;3250;120
Bogyós;Szeder;A hagyományos csemege;https://hur.webmania.cc/img/szeder.jpg;1700;40
Bogyós;Eper;Egy tavaszi harapás;https://hur.webmania.cc/img/eper.jpg;1440;0
Bogyós;Homoktövis;Mezei csemege;https://hur.webmania.cc/img/homoktovis.jpg;3200;100
Bogyós;Som;A fanyar gyönyör;https://hur.webmania.cc/img/som.jpg;900;10
Bogyós;Fanyarka;Édes mint a méz;https://hur.webmania.cc/img/fanyarka.jpg;990;25
Bogyós;Piszke;Egres;https://hur.webmania.cc/img/piszke.jpg;750;100
Bogyós;Ribizli;Fanyar; vasban gazdag;https://hur.webmania.cc/img/ribizli.jpg;1300;170
Magyaros;Meggy;A falusi kincs;https://hur.webmania.cc/img/meggy.jpg;600;300
Magyaros;Cseresznye;A falusi kincs;https://hur.webmania.cc/img/cseresznye.jpg;900;300
Magyaros;Szilva;A falusi kincs;https://hur.webmania.cc/img/szilva.jpg;770;200
