id;name;description;picture;person;meal_id
1;Rántotta;Egyszerű tojásos reggeli;Pictures/Rántotta.jpg;4;1
2;Tükörtojás;Serpenyőben sült tojás;Pictures/Tükörtojás.jpg;4;1
3;Zabkása;Egészséges reggeli étel;Pictures/Zabkása.jpg;4;1
4;Palacsinta reggelire;Édes reggeli palacsinta;Pictures/Palacsinta reggelire.jpg;4;1
5;Melegszendvics;Sütőben sült szendvics;Pictures/Melegszendvics.jpg;4;1
6;Tojásrántotta zöldségekkel;Egészséges tojásos reggeli;Pictures/Tojásrántotta zöldségekkel.jpg;4;1
7;Avokádós pirítós;Modern reggeli fogás;Pictures/Avokádós pirítós.jpg;4;1
8;Joghurt müzlivel;Könnyű reggeli étel;Pictures/Joghurt müzlivel.jpg;4;1
9;Kakaós csiga;Édes péksütemény;Pictures/Kakaós csiga.jpg;4;1
10;Croissant;Francia vajas péksütemény;Pictures/Croissant.jpg;4;1
11;Cézár saláta;Klasszikus csirkés saláta;Pictures/Cézár saláta.jpg;4;2
12;Görög saláta;Friss zöldséges előétel;Pictures/Görög saláta.jpg;4;2
13;Bruschetta;Pirított kenyér paradicsommal;Pictures/Bruschetta.jpg;4;2
14;Hidegtál;Vegetáriánus falatkák;Pictures/Hidegtál.jpg;4;2
15;Tojáskrémes kenyér;Egyszerű hideg előétel;Pictures/Tojáskrémes kenyér.jpg;4;2
16;Sajttál;Válogatott sajtok;Pictures/Sajttál.jpg;4;2
17;Szalámis falatok;Hideg húsos előétel;Pictures/Szalámis falatok.jpg;4;2
18;Caprese saláta;Mozzarella paradicsommal;Pictures/Caprese saláta.jpg;4;2
19;Töltött tojás;Majonézes tojásétel;Pictures/Töltött tojás.jpg;4;2
20;Sonkatekercs;Sonkába tekert krémes töltelék;Pictures/Sonkatekercs.jpg;4;2
21;Gulyásleves;Hagyományos magyar leves;Pictures/Gulyásleves.jpg;4;3
22;Húsleves gazdagon;Lassan főzött klasszikus leves;Pictures/Húsleves gazdagon.jpg;4;3
23;Paradicsomleves;Édeskés paradicsomos leves;Pictures/Paradicsomleves.jpg;4;3
24;Zöldségleves;Friss zöldségekből készült leves;Pictures/Zöldségleves.jpg;4;3
25;Krémleves;Gazdag állagú krémes leves;Pictures/Krémleves.jpg;4;3
26;Bableves;Tartalmas babos leves;Pictures/Bableves.jpg;4;3
27;Lencseleves;Hagyományos lencsés leves;Pictures/Lencseleves.jpg;4;3
28;Halászlé;Fűszeres magyar halleves;Pictures/Halászlé.jpg;4;3
29;Karfiolleves;Könnyű zöldségleves;Pictures/Karfiolleves.jpg;4;3
30;Almaleves;Hidegen is fogyasztható gyümölcsleves;Pictures/Almaleves.jpg;4;3
31;Paprikás krumpli;Hagyományos magyar egytálétel kolbásszal;Pictures/Paprikás krumpli.jpg;4;4
32;Rántott hús burgonyával;Ropogós panírozott sertéshús körettel;Pictures/Rántott hús burgonyával.jpg;4;4
33;Marhapörkölt;Szaftos marhapörkölt magyarosan;Pictures/Marhapörkölt.jpg;4;4
34;Spagetti bolognai;Paradicsomos húsos tésztaétel;Pictures/Spagetti bolognai.jpg;4;4
35;Csirkepaprikás;Tejfölös-paprikás csirkés főétel;Pictures/Csirkepaprikás.jpg;4;4
36;Lasagne;Olasz réteges tésztaétel;Pictures/Lasagne.jpg;4;4
37;Töltött káposzta;Káposztalevélbe töltött húsos étel;Pictures/Töltött káposzta.jpg;4;4
38;Rakott krumpli;Burgonyás-tejfölös sütött étel;Pictures/Rakott krumpli.jpg;4;4
39;Grillezett csirkemell;Egészséges sült csirkehús;Pictures/Grillezett csirkemell.jpg;4;4
40;Rántott sajt;Bundázott sült sajt;Pictures/Rántott sajt.jpg;4;4
41;Palacsinta;Édes töltött desszert;Pictures/Palacsinta.jpg;4;5
42;Somlói galuska;Magyar klasszikus desszert;Pictures/Somlói galuska.jpg;4;5
43;Tiramisu;Olasz krémes desszert;Pictures/Tiramisu.jpg;4;5
44;Almás pite;Fahéjas almás sütemény;Pictures/Almás pite.jpg;4;5
45;Chocolate brownie;Puha csokoládés sütemény;Pictures/Chocolate brownie.jpg;4;5
46;Sajttorta;Krémes sült desszert;Pictures/Sajttorta.jpg;4;5
47;Piskótatekercs;Krémmel töltött sütemény;Pictures/Piskótatekercs.jpg;4;5
48;Muffin;Könnyű egyadagos sütemény;Pictures/Muffin.jpg;4;5
49;Rizskoch;Sült rizses desszert;Pictures/Rizskoch.jpg;4;5
50;Aranygaluska;Diós kelt tészta desszert;Pictures/Aranygaluska.jpg;4;5
